Voltage   	Current	
26.097390	9.540463E-11
26.197210	-1.381542E-11
26.296540	9.668266E-12
26.397460	-8.067363E-11
26.497370	-3.770431E-11
26.597410	-1.007022E-11
26.697030	-3.504850E-10
26.797890	-2.106446E-10
26.897630	-2.884723E-11
26.997420	9.718892E-12
27.096970	5.025895E-11
27.197650	6.721383E-11
27.297460	8.755978E-11
27.397280	5.972325E-11
27.496690	-3.203576E-11
27.597640	9.307649E-11
27.697430	3.673308E-10
27.796940	1.051726E-10
27.896520	6.954201E-11
27.997320	-7.935783E-11
28.097300	-6.594569E-11
28.196610	-1.831993E-11
28.296230	1.136249E-10
28.397060	-1.364478E-10
28.496760	1.064702E-9
28.596840	-3.307467E-10
28.696740	-7.475220E-11
28.797750	-1.075486E-10
28.897440	-5.645724E-10
28.996950	1.453584E-10
29.096630	-3.898611E-10
29.197400	-4.614259E-10
29.297370	3.902308E-11
29.396840	-8.659520E-11
29.496640	4.793084E-11
29.597280	9.920050E-11
29.697020	-3.440220E-12
29.796720	3.645501E-12
29.897600	-3.871650E-11
29.997110	9.565758E-11
29.897790	-8.355849E-11
29.796930	-7.561252E-11
29.697670	-1.386616E-11
29.597530	-4.109491E-11
29.496690	2.211893E-11
29.396990	-6.306075E-11
29.297520	-4.241119E-11
29.197530	-9.798290E-11
29.097000	-6.118819E-11
28.997210	-1.027256E-11
28.897540	-6.953901E-11
28.797640	-1.482775E-11
28.696850	-4.949674E-11
28.597140	-4.939568E-11
28.497460	2.338277E-10
28.397650	-2.241946E-11
28.296900	-4.747239E-11
28.197420	2.380207E-12
28.097640	-6.624931E-11
27.997960	-3.208656E-11
27.897090	5.537086E-11
27.797440	-7.875020E-11
27.697660	-9.934925E-11
27.597540	-1.549210E-10
27.497000	-4.858597E-11
27.397370	-7.540985E-11
27.297450	-3.173201E-11
27.198050	-3.294676E-11
27.096900	-7.222148E-11
26.997410	-7.146225E-11
26.897530	-6.311132E-11
26.797780	-6.953912E-11
26.697040	-3.119692E-10
26.597390	-8.553225E-11
26.497350	-2.474762E-11
26.397780	-2.996076E-11
26.296880	-5.597511E-11
26.197320	-6.336440E-11
26.097570	-8.290046E-11
25.997910	-6.037831E-11
25.897180	-5.405193E-11
25.797300	-3.942538E-11
25.697490	-5.152126E-11
25.597560	-3.659081E-11
25.496850	-7.185391E-12
25.397170	-7.829490E-11
25.297540	-9.135262E-11
25.197860	-6.665399E-11
25.097170	-5.739248E-11
24.997140	3.163377E-11
24.897700	-1.184804E-10
24.797990	-1.231368E-10
24.697090	-9.363019E-11
24.597590	-1.036513E-10
24.497680	-6.493342E-11
24.398030	-7.348699E-11
24.297470	-7.996492E-11
24.197400	-7.141163E-11
24.097700	-1.632214E-10
23.998320	-7.090553E-11
23.897390	-6.042877E-11
23.797420	-9.347839E-11
23.697810	-9.616080E-11
23.598310	-1.223272E-10
23.497170	-4.261369E-11
23.397620	-1.099777E-10
23.297860	-7.024745E-11
23.198310	-7.571355E-11
23.097410	-1.421670E-10
22.997770	-2.343307E-10
22.898010	-1.250094E-10
22.798290	-6.412357E-11
22.697100	-1.032464E-10
22.597910	-1.226813E-10
22.498150	-2.202608E-10
22.397320	-1.259208E-10
22.297770	-1.023859E-10
22.197930	-5.076203E-11
22.098360	-7.141160E-11
21.997460	4.626062E-11
21.897610	-8.214124E-11
21.798070	-7.171524E-11
21.698310	-7.606787E-11
21.597360	-1.295646E-10
21.497710	-2.712644E-11
21.397850	-8.482362E-11
21.298310	-1.816811E-11
21.197280	-6.817261E-11
21.097450	-8.715190E-11
20.997660	2.368777E-11
20.897870	-1.219726E-10
20.797210	-5.683537E-11
20.697660	-6.533826E-11
20.597800	-8.624082E-11
20.498050	-1.317406E-10
20.397310	-1.158487E-10
20.297570	-1.092186E-10
